date,temp,humidity,rainfall
2025-05-20,37.27,53.8,177.5
2025-05-21,37.02,70.2,125.7
2025-05-22,18.55,79.3,96.5
2025-05-23,24.93,76.3,55.7
2025-05-24,19.82,55.4,146.5
2025-05-25,19.41,92.5,123.3
2025-05-26,12.96,80.6,29.3
2025-05-27,27.85,70.5,164.0
2025-05-28,25.07,73.6,148.1
2025-05-29,13.34,63.1,171.0
2025-05-30,19.24,53.6,130.6
2025-05-31,35.61,59.6,110.4
2025-06-01,18.23,81.7,75.3
2025-06-02,15.77,40.8,167.9
2025-06-03,24.73,46.4,155.9
2025-06-04,37.63,42.5,8.1
2025-06-05,18.29,42.2,4.7
2025-06-06,29.48,87.1,67.8
2025-06-07,31.8,78.7,145.9
2025-06-08,18.18,66.1,177.7
2025-06-09,30.93,45.4,27.1
2025-06-10,21.56,67.0,106.9
2025-06-11,28.44,66.0,68.6
2025-06-12,28.47,49.5,174.6
2025-06-13,25.93,63.9,151.6
2025-06-14,14.35,61.9,150.9
2025-06-15,33.72,73.9,84.4
2025-06-16,20.34,74.9,74.7
2025-06-17,16.85,42.5,49.2
2025-06-18,13.06,60.6,10.1
2025-06-19,27.36,74.4,155.7
2025-06-20,29.62,67.7,146.3
2025-06-21,12.43,87.1,179.9
2025-06-22,25.31,76.2,179.4
2025-06-23,17.89,49.0,100.0
2025-06-24,28.77,43.9,138.4
2025-06-25,16.53,75.3,170.1
2025-06-26,29.96,41.5,152.9
2025-06-27,22.06,72.2,44.5
2025-06-28,36.35,91.7,81.1
2025-06-29,15.58,71.7,23.2
